name	raw_seconds	verdict
01-empty-code-accepted	5.491	caught
02-unknown-json-field-allowed	5.557	caught
03-trailing-json-allowed	5.480	caught
04-payload-cap-removed	5.493	caught
05-cap-reported-as-400	5.449	caught
06-allow-header-dropped	5.495	caught
07-api-404-is-500	5.478	caught
08-api-catchall-too-broad	5.480	caught
09-static-mount-removed	5.408	caught
10-eval-ack-lies	5.507	caught
11-message-bumps-version	5.449	caught
12-transport-accepts-any-body	5.458	caught
13-hush-plays-instead	5.528	caught
14-shell-render-silently-truncates	5.455	caught
15-eval-accepts-future-version	5.499	caught
16-eval-result-not-stored	5.442	caught
17-stale-report-regresses	5.471	caught
18-same-version-report-ignored	3.623	caught
19-version-not-monotonic	5.452	caught
20-version-skipped	5.418	caught
21-history-window-wrong-start	5.414	caught
22-snapshot-omits-playing	5.569	caught
23-wedged-state-handler	15.710	caught
24-ws-405-fallback-removed	5.486	caught
25-ws-wrong-close-status	5.484	caught
26-ws-origin-check-disabled	5.472	caught
27-ws-closes-without-handshake	5.398	caught
28-hub-double-close-allowed	3.607	caught
29-hub-unsubscribe-does-not-close	13.411	caught
30-hub-slow-client-blocks	153.587	caught
31-hub-broadcast-skips-a-subscriber	26.423	caught
32-hub-count-escapes-the-hub-goroutine	5.520	caught
33-hub-dropped-client-not-removed	7.459	caught
34-hub-removal-not-recorded	3.646	caught
35-ws-listener-never-subscribes	29.200	caught
36-ws-subscriber-leaked-on-exit	10.442	caught
37-ws-broadcast-trimmed	5.590	caught
38-ws-write-deadline-removed	5.657	caught
39-ws-going-away-not-reported	5.492	caught
40-ws-client-close-not-noticed	10.437	caught
41-ws-binary-frames	5.448	caught
